2026-05-31 10:48;NULL;false;sofia;1
2026-01-06T14:00:00;2026-01-06T17:00:00;true;cliana1;1
2026-01-09T15:30:00;2026-01-09T18:30:00;false;cliluis2;2
2026-01-11T16:00:00;2026-01-11T19:00:00;false;climaria3;3
2026-01-13T13:00:00;2026-01-13T16:00:00;false;clicarlos4;4
2026-01-16T14:30:00;2026-01-16T17:30:00;false;clisofia5;5
2026-01-19T15:00:00;2026-01-19T18:00:00;false;clipedro6;6
2026-01-21T16:30:00;2026-01-21T19:30:00;false;clilaura7;7
2026-01-23T14:00:00;2026-01-23T17:00:00;false;cliandres8;8
2026-01-26T15:30:00;2026-01-26T18:30:00;true;clivalent9;9
2026-01-29T16:00:00;2026-01-29T19:00:00;false;clijuan10;10
2026-02-02T14:00:00;2026-02-02T17:00:00;false;cliisabel11;11
2026-02-04T15:30:00;2026-02-04T18:30:00;false;climiguel12;12
2026-02-06T16:00:00;2026-02-06T19:00:00;false;clidaniel13;13
2026-02-09T13:00:00;2026-02-09T16:00:00;false;clisebast14;14
2026-02-11T14:30:00;2026-02-11T17:30:00;false;clicamila15;15
2026-02-13T15:00:00;2026-02-13T18:00:00;false;clinicola16;16
2026-02-16T16:30:00;2026-02-16T19:30:00;true;clialejan17;17
2026-02-18T14:00:00;2026-02-18T17:00:00;false;clifelipe18;18
2026-02-21T15:30:00;2026-02-21T18:30:00;false;cligabrie19;19
2026-02-23T16:00:00;2026-02-23T19:00:00;false;clidiego20;20
2026-03-02T14:00:00;2026-03-02T17:00:00;false;clinatali21;1
2026-03-05T15:30:00;2026-03-05T18:30:00;false;climateo22;2
2026-03-08T16:00:00;2026-03-08T19:00:00;false;clipaola23;3
2026-03-11T13:00:00;2026-03-11T16:00:00;false;cliesteba24;4
2026-03-14T14:30:00;2026-03-14T17:30:00;true;clijulian25;5
2026-03-17T15:00:00;2026-03-17T18:00:00;false;cliricard26;6
2026-03-20T16:30:00;2026-03-20T19:30:00;false;clilucia27;7
2026-03-23T14:00:00;2026-03-23T17:00:00;false;cliandres28;8
2026-03-26T15:30:00;2026-03-26T18:30:00;false;clisara29;9
2026-03-29T16:00:00;2026-03-29T19:00:00;false;climauric30;10
2026-04-01T14:00:00;2026-04-01T17:00:00;false;climarian31;11
2026-04-04T15:30:00;2026-04-04T18:30:00;false;clialejan32;12
2026-04-07T16:00:00;2026-04-07T19:00:00;true;clivalent33;13
2026-04-10T13:00:00;2026-04-10T16:00:00;false;clidaniel34;14
2026-04-13T14:30:00;2026-04-13T17:30:00;false;cliisabel35;15
2026-04-16T15:00:00;2026-04-16T18:00:00;false;clisamuel36;16
2026-04-19T16:30:00;2026-04-19T19:30:00;false;clisofia37;17
2026-04-22T14:00:00;2026-04-22T17:00:00;false;clitomas38;18
2026-04-25T15:30:00;2026-04-25T18:30:00;false;cligabrie39;19
2026-04-28T16:00:00;2026-04-28T19:00:00;false;cliemmanu40;20
2026-05-01T14:00:00;2026-05-01T17:00:00;true;clivaleri41;1
2026-05-04T15:30:00;2026-05-04T18:30:00;false;climatias42;2
2026-05-07T16:00:00;2026-05-07T19:00:00;false;clicatali43;3
2026-05-10T13:00:00;2026-05-10T16:00:00;false;clirodrig44;4
2026-05-13T14:30:00;2026-05-13T17:30:00;false;cliantone45;5
2026-05-16T15:00:00;2026-05-16T18:00:00;false;cligonzal46;6
2026-05-19T16:30:00;2026-05-19T19:30:00;false;cliconsta47;7
2026-05-22T14:00:00;2026-05-22T17:00:00;false;clibenjam48;8
2026-05-25T15:30:00;2026-05-25T18:30:00;true;clifernan49;9
2026-05-28T16:00:00;2026-05-28T19:00:00;false;clijoaqui50;10
