0;Uno;0;2026-05-31 10:48;NULL
0;Ajedrez;0;2026-05-31 10:48;NULL
0;Catan;0;2026-01-06T14:00:00;2026-01-06T17:00:00
1;Ticket to Ride;0;2026-01-09T15:30:00;2026-01-09T18:30:00
1;Pandemic;0;2026-01-09T15:30:00;2026-01-09T18:30:00
2;Dixit;0;2026-01-11T16:00:00;2026-01-11T19:00:00
3;Dominion;0;2026-01-13T13:00:00;2026-01-13T16:00:00
3;Hanabi;0;2026-01-13T13:00:00;2026-01-13T16:00:00
4;Codenames;0;2026-01-16T14:30:00;2026-01-16T17:30:00
5;Jenga;0;2026-01-19T15:00:00;2026-01-19T18:00:00
5;Twister;0;2026-01-19T15:00:00;2026-01-19T18:00:00
6;Kerplunk;0;2026-01-21T16:30:00;2026-01-21T19:30:00
7;Dobble;0;2026-01-23T14:00:00;2026-01-23T17:00:00
7;7 Wonders;0;2026-01-23T14:00:00;2026-01-23T17:00:00
8;Agricola;0;2026-01-26T15:30:00;2026-01-26T18:30:00
9;Azul;0;2026-01-29T16:00:00;2026-01-29T19:00:00
9;King of Tokyo;0;2026-01-29T16:00:00;2026-01-29T19:00:00
10;Catan;0;2026-02-02T14:00:00;2026-02-02T17:00:00
11;Ticket to Ride;0;2026-02-04T15:30:00;2026-02-04T18:30:00
11;Pandemic;0;2026-02-04T15:30:00;2026-02-04T18:30:00
12;Dixit;0;2026-02-06T16:00:00;2026-02-06T19:00:00
13;Dominion;0;2026-02-09T13:00:00;2026-02-09T16:00:00
13;Hanabi;0;2026-02-09T13:00:00;2026-02-09T16:00:00
14;Codenames;0;2026-02-11T14:30:00;2026-02-11T17:30:00
15;Jenga;0;2026-02-13T15:00:00;2026-02-13T18:00:00
15;Twister;0;2026-02-13T15:00:00;2026-02-13T18:00:00
16;Kerplunk;0;2026-02-16T16:30:00;2026-02-16T19:30:00
17;Dobble;0;2026-02-18T14:00:00;2026-02-18T17:00:00
17;7 Wonders;0;2026-02-18T14:00:00;2026-02-18T17:00:00
18;Agricola;0;2026-02-21T15:30:00;2026-02-21T18:30:00
19;Azul;0;2026-02-23T16:00:00;2026-02-23T19:00:00
19;King of Tokyo;0;2026-02-23T16:00:00;2026-02-23T19:00:00
20;Catan;0;2026-03-02T14:00:00;2026-03-02T17:00:00
21;Ticket to Ride;0;2026-03-05T15:30:00;2026-03-05T18:30:00
21;Pandemic;0;2026-03-05T15:30:00;2026-03-05T18:30:00
22;Dixit;0;2026-03-08T16:00:00;2026-03-08T19:00:00
23;Dominion;0;2026-03-11T13:00:00;2026-03-11T16:00:00
23;Hanabi;0;2026-03-11T13:00:00;2026-03-11T16:00:00
24;Codenames;0;2026-03-14T14:30:00;2026-03-14T17:30:00
25;Jenga;0;2026-03-17T15:00:00;2026-03-17T18:00:00
25;Twister;0;2026-03-17T15:00:00;2026-03-17T18:00:00
26;Kerplunk;0;2026-03-20T16:30:00;2026-03-20T19:30:00
27;Dobble;0;2026-03-23T14:00:00;2026-03-23T17:00:00
27;7 Wonders;0;2026-03-23T14:00:00;2026-03-23T17:00:00
28;Agricola;0;2026-03-26T15:30:00;2026-03-26T18:30:00
29;Azul;0;2026-03-29T16:00:00;2026-03-29T19:00:00
29;King of Tokyo;0;2026-03-29T16:00:00;2026-03-29T19:00:00
30;Catan;0;2026-04-01T14:00:00;2026-04-01T17:00:00
31;Ticket to Ride;0;2026-04-04T15:30:00;2026-04-04T18:30:00
31;Pandemic;0;2026-04-04T15:30:00;2026-04-04T18:30:00
32;Dixit;0;2026-04-07T16:00:00;2026-04-07T19:00:00
33;Dominion;0;2026-04-10T13:00:00;2026-04-10T16:00:00
33;Hanabi;0;2026-04-10T13:00:00;2026-04-10T16:00:00
34;Codenames;0;2026-04-13T14:30:00;2026-04-13T17:30:00
35;Jenga;0;2026-04-16T15:00:00;2026-04-16T18:00:00
35;Twister;0;2026-04-16T15:00:00;2026-04-16T18:00:00
36;Kerplunk;0;2026-04-19T16:30:00;2026-04-19T19:30:00
37;Dobble;0;2026-04-22T14:00:00;2026-04-22T17:00:00
37;7 Wonders;0;2026-04-22T14:00:00;2026-04-22T17:00:00
38;Agricola;0;2026-04-25T15:30:00;2026-04-25T18:30:00
39;Azul;0;2026-04-28T16:00:00;2026-04-28T19:00:00
39;King of Tokyo;0;2026-04-28T16:00:00;2026-04-28T19:00:00
40;Catan;0;2026-05-01T14:00:00;2026-05-01T17:00:00
41;Ticket to Ride;0;2026-05-04T15:30:00;2026-05-04T18:30:00
41;Pandemic;0;2026-05-04T15:30:00;2026-05-04T18:30:00
42;Dixit;0;2026-05-07T16:00:00;2026-05-07T19:00:00
43;Dominion;0;2026-05-10T13:00:00;2026-05-10T16:00:00
43;Hanabi;0;2026-05-10T13:00:00;2026-05-10T16:00:00
44;Codenames;0;2026-05-13T14:30:00;2026-05-13T17:30:00
45;Jenga;0;2026-05-16T15:00:00;2026-05-16T18:00:00
45;Twister;0;2026-05-16T15:00:00;2026-05-16T18:00:00
46;Kerplunk;0;2026-05-19T16:30:00;2026-05-19T19:30:00
47;Dobble;0;2026-05-22T14:00:00;2026-05-22T17:00:00
47;7 Wonders;0;2026-05-22T14:00:00;2026-05-22T17:00:00
48;Agricola;0;2026-05-25T15:30:00;2026-05-25T18:30:00
49;Azul;0;2026-05-28T16:00:00;2026-05-28T19:00:00
49;King of Tokyo;0;2026-05-28T16:00:00;2026-05-28T19:00:00
